No,Name,PTI-IND,PML-N,PPP,JIP,Total Votes,Filename
245,"Islamabad Model College for Girls, University colony (Female)",125,179,124,26,,
246,"Islamabad Model School for Girls (I-V) Maira Malpur, Islamabad. (Combined)",244,65,277,11,,
247,"Islamabad Model College for Girls Malpur, Islamabad. (Male)",225,28,411,3,,
248,"Islamabad Model College for Girls Malpur, Islamabad. (Female)",206,28,313,4,,
249,"Basit Ali Sardar Shaheed Model School for boys (I-VIII) Malpur, Islamabad. (Combine",149,57,221,4,,
250,"Islamabad Model School for Boys (I-X) Rawal Dam, Islamabad. (Male)",437,229,20,54,,
251,"Islamabad Model School for Boys (I-X) Rawal Dam, Islamabad. (Female)",383,174,14,42,,
252,"Islamabad Model College for Girls Margalla Town, Islamabad. (Male)",433,117,18,26,,
253,"Islamabad Model College for Girls Margalla Town, Islamabad. (Female)",431,92,8,26,,
254,"Islamabad Model College for Girls Margalla Town, Islamabad. (Male)",372,147,12,40,,
255,"Islamabad Model College for Girls Margalla Town, Islamabad. (Female)",356,124,7,37,,
256,"Gosha Mishal School & College, St No-27, Puna Faqeeran, Kachi Basti, Margalla Tow",309,178,42,12,,
257,"Gosha Mishal School & College, St No-27, Puna Faqeeran, Kachi Basti, Margalla Tow",244,128,30,5,,
258,"Islamabad Model College for Girls (I-X) Rawal Town, Islamabad. (Male)",505,160,70,28,,
259,"Islamabad Model College for Girls (I-X) Rawal Town, Islamabad. (Female)",406,119,53,22,,
260,"Ali Abbas Shaheed Model College for Boys (VI-XII), G-6/2, Islamabad. (Male)",397,125,89,23,,
261,"Ali Abbas Shaheed Model College for Boys (VI-XII), G-6/2, Islamabad. (Female)",338,112,61,20,,
262,"Islamabd Model School for Girls ( I-V) G-6/2, Luqman Hakeem Road, Islamabad. (Ma",321,134,26,27,,
263,"Islamabd Model School for Girls ( I-V) G-6/2, Luqman Hakeem Road, Islamabad. (Fe",276,87,9,12,,
264,Islamabad Model School (I-V) Cafe Irum Market  G-6/2 Islamabad (Male),286,112,20,26,,
